"level,""en"",""ja"",""ex"",""sEn"",""sJa"""
"400,""Prepare"",""準備する"",""会議やイベントのために用意すること。"",""I have to prepare for the meeting."",""会議の準備をしなければなりません。"""
"400,""Attach"",""添付する"",""メールにファイルをつけること。"",""Please attach the document."",""その書類を添付してください。"""
"400,""Cancel"",""キャンセルする"",""予約や予定を取り消すこと。"",""I'd like to cancel my reservation."",""予約をキャンセルしたいのですが。"""
"400,""Discuss"",""話し合う"",""問題や計画について意見を交わすこと。"",""Let's discuss the new project."",""新しいプロジェクトについて話し合いましょう。"""
"400,""Reserve"",""予約する"",""席や部屋をあらかじめ確保すること。"",""I want to reserve a table for two."",""2名用の席を予約したいです。"""
"400,""Invite"",""招待する"",""パーティーや会議に人を呼ぶこと。"",""They invited me to the party."",""彼らは私をパーティーに招待しました。"""
"400,""Inform"",""知らせる"",""情報や決定を伝えること。"",""Please inform us of any changes."",""変更があればお知らせください。"""
"400,""Prefer"",""〜を好む"",""AよりもBが好き、という表現に使う。"",""I prefer coffee to tea."",""私は紅茶よりコーヒーが好きです。"""
"400,""Order"",""注文する"",""レストランや通販で品物を頼むこと。"",""I'd like to order some food."",""食べ物を注文したいです。"""
"400,""Repair"",""修理する"",""壊れたものを直すこと。"",""He is repairing the machine."",""彼は機械を修理しています。"""
"400,""Introduce"",""紹介する"",""人や新製品を知らせること。"",""Let me introduce my colleague."",""私の同僚を紹介させてください。"""
"400,""Explain"",""説明する"",""理由や方法をわかりやすく話すこと。"",""Can you explain this rule?"",""このルールを説明してくれますか？"""
"400,""Increase"",""増える、増やす"",""量や価格が上がること。"",""Sales increased by 10%."",""売上が10%増加しました。"""
"400,""Decrease"",""減る、減らす"",""量や価格が下がること。Increaseの対義語。"",""The company decreased its budget."",""会社は予算を減らしました。"""
"400,""Deliver"",""配達する"",""荷物やメッセージを届けること。"",""The package was delivered today."",""今日、荷物が配達されました。"""
"400,""Return"",""戻る、返却する"",""元の場所に戻ることや、品物を返すこと。"",""Please return the book by tomorrow."",""明日までに本を返却してください。"""
"400,""Share"",""共有する"",""情報や物を他のみんなと分かち合うこと。"",""I will share the file with you."",""あなたとファイルを共有します。"""
"400,""Decide"",""決定する"",""考えた末に決めること。"",""We decided to hire him."",""私たちは彼を雇うことに決めました。"""
"400,""Expect"",""予期する、期待する"",""何かが起こるだろうと考えること。"",""We expect a lot of visitors."",""多くの訪問者を予期しています。"""
"400,""Agree"",""同意する"",""他人の意見に賛成すること。"",""I agree with your opinion."",""あなたの意見に同意します。"""
"400,""Rent"",""賃借りする"",""お金を払って車や部屋を借りること。"",""We rented a car for the trip."",""旅行のために車を借りました。"""
"400,""Apply"",""応募する、申し込む"",""仕事やプログラムに志願すること。"",""He applied for the job."",""彼はその仕事に応募しました。"""
"400,""Borrow"",""借りる"",""人から無料で物やお金を一時的に借りること。"",""Can I borrow your pen?"",""ペンを借りてもいいですか？"""
"400,""Mention"",""言及する"",""話題に少し触れること。"",""He didn't mention the problem."",""彼はその問題について言及しませんでした。"""
"400,""Reply"",""返信する"",""メールや手紙に返事を書くこと。"",""She didn't reply to my email."",""彼女は私のメールに返信しませんでした。"""
"400,""Visit"",""訪問する"",""場所や人を訪ねること。"",""I plan to visit the factory."",""工場を訪問する予定です。"""
"400,""Check"",""確認する、小切手"",""内容を確かめる、または支払い用の小切手。"",""Please check the attached file."",""添付ファイルを確認してください。"""
"400,""Detail"",""詳細"",""細かい部分や詳しい情報のこと。"",""For more details, visit our website."",""詳細は当社のウェブサイトをご覧ください。"""
"400,""Form"",""用紙、記入用紙"",""申し込みやアンケートなどの紙・データ。"",""Please fill out this form."",""この用紙に記入してください。"""
"400,""Document"",""書類"",""公式な文書や記録のこと。"",""I lost the important document."",""重要な書類をなくしてしまいました。"""
"400,""Note"",""メモ、注意する"",""書き留めることや、注意を払うこと。"",""Please note that the schedule has changed."",""スケジュールが変更されたことにご注意ください。"""
"400,""Local"",""地元の"",""ある特定の地域やその周辺の。"",""We use local ingredients."",""私たちは地元の食材を使用しています。"""
"400,""Public"",""公共の"",""一般の人々が利用できること。"",""Public transportation is very convenient here."",""ここは公共交通機関がとても便利です。"""
"400,""Product"",""製品"",""会社が製造して販売するもの。"",""This is our new product."",""これが当社の新製品です。"""
"400,""Service"",""サービス"",""顧客に対する奉仕や接客。"",""They offer great customer service."",""彼らは素晴らしい顧客サービスを提供しています。"""
"400,""System"",""システム、制度"",""仕組みやコンピューターのシステム。"",""The new system is easy to use."",""新しいシステムは使いやすいです。"""
"400,""Process"",""過程、処理する"",""手順や、データを処理すること。"",""The process takes about two weeks."",""その過程には約2週間かかります。"""
"400,""Project"",""プロジェクト、計画"",""目標に向かって行われる一連の作業。"",""He is the manager of this project."",""彼はこのプロジェクトのマネージャーです。"""
"400,""Result"",""結果"",""行動やテストの最終的な成果。"",""We are waiting for the test results."",""私たちはテストの結果を待っています。"""
"400,""Reason"",""理由"",""なぜそうなったかという原因。"",""What is the reason for the delay?"",""遅れの理由は何ですか？"""
"400,""Purpose"",""目的"",""何かを行う意図や狙い。"",""The purpose of this meeting is to share ideas."",""この会議の目的はアイデアを共有することです。"""
"400,""Choice"",""選択"",""いくつかの中から選ぶこと。"",""We have no other choice."",""私たちには他に選択肢がありません。"""
"400,""Opinion"",""意見"",""人がどう考えているかということ。"",""What is your opinion on this matter?"",""この件についてのあなたの意見は何ですか？"""
"400,""Cost"",""費用、コスト"",""何かにかかるお金。"",""The total cost is 50 dollars."",""合計費用は50ドルです。"""
"400,""Price"",""価格、値段"",""商品やサービスの値段。"",""The price includes tax."",""価格には税金が含まれています。"""
"400,""Value"",""価値"",""物の値打ちや重要性。"",""This book has great educational value."",""この本には素晴らしい教育的価値があります。"""
"400,""Quality"",""品質"",""ものの良さや質。"",""We guarantee the quality of our products."",""私たちは製品の品質を保証します。"""
"400,""Amount"",""量、金額"",""お金や物の全体的な量。"",""He paid the full amount."",""彼は全額を支払いました。"""
"400,""Limit"",""制限、限界"",""これ以上いけない境界線。"",""There is a time limit for this test."",""このテストには時間制限があります。"""
"400,""Rule"",""規則、ルール"",""守らなければならない決まり。"",""You must follow the company rules."",""会社の規則に従わなければなりません。"""
"400,""Issue"",""問題、発行する"",""話し合うべき問題点や、雑誌の発行。"",""We discussed the safety issues."",""私たちは安全上の問題について話し合いました。"""
"400,""Factory"",""工場"",""製品を製造する大きな建物。"",""He works at a car factory."",""彼は自動車工場で働いています。"""
"400,""Event"",""イベント、行事"",""計画された特別な出来事。"",""The main event will start at noon."",""メインイベントは正午に始まります。"""
"400,""Area"",""地域、エリア"",""特定の場所や範囲。"",""Smoking is not allowed in this area."",""このエリアでは喫煙は禁止されています。"""
"400,""Condition"",""状態、条件"",""物や人の状態、または契約の条件。"",""The car is in good condition."",""その車は良い状態です。"""
"400,""Experience"",""経験"",""実際に見たり行ったりして得た知識。"",""She has a lot of experience in sales."",""彼女は営業の経験が豊富です。"""
"400,""Address"",""宛先、演説する"",""手紙の宛名や、問題に取り組むという意味もある。"",""Please write your name and address."",""名前と宛先を書いてください。"""
"400,""Advantage"",""利点、強み"",""他より優れている点のこと。"",""This product has a big advantage."",""この製品には大きな利点があります。"""
"400,""Advertisement"",""広告"",""商品やサービスを宣伝するもの。adと略される。"",""I saw your advertisement in the newspaper."",""新聞であなたの広告を見ました。"""
"400,""Advice"",""助言、アドバイス"",""忠告や意見。不可算名詞なので注意。"",""Can you give me some advice?"",""いくつか助言をくれませんか？"""
"400,""Article"",""記事"",""新聞や雑誌の文章のこと。"",""I read an interesting article today."",""今日、面白い記事を読みました。"""
"400,""Bill"",""請求書、紙幣"",""レストランの勘定や、電気代などの請求書。"",""Could you bring me the bill, please?"",""お勘定をお願いできますか？"""
"400,""Branch"",""支店、枝"",""会社の支社や銀行の支店を指す。"",""She works at the Tokyo branch."",""彼女は東京支店で働いています。"""
"400,""Career"",""職業、経歴"",""一生の仕事や職歴のこと。"",""He has a successful career in banking."",""彼は銀行業で成功した経歴を持っています。"""
"400,""Cash"",""現金"",""硬貨や紙幣のこと。"",""Do you pay in cash or by credit card?"",""現金で払いますか、それともクレジットカードですか？"""
"400,""Client"",""顧客、依頼人"",""弁護士や会計士などの専門的なサービスを受ける客。"",""I have a meeting with a client."",""顧客との会議があります。"""
"400,""Company"",""会社"",""ビジネスを行う組織。仲間という意味もある。"",""He joined the company last year."",""彼は去年その会社に入社しました。"""
"400,""Complain"",""苦情を言う"",""不満やクレームを言うこと。"",""A customer complained about the food."",""客が料理について苦情を言いました。"""
"400,""Copy"",""コピー、写し"",""文書を複製すること。"",""Please make three copies of this document."",""この書類を3部コピーしてください。"""
"400,""Customer"",""客、顧客"",""お店で物を買う一般的なお客さん。"",""We must provide good service to our customers."",""私たちは客に良いサービスを提供しなければなりません。"""
"400,""Department"",""部門、売り場"",""会社の中の部署や、デパートの売り場。"",""She is in the sales department."",""彼女は営業部門にいます。"""
"400,""Desk"",""机、受付"",""ホテルのフロントなど受付のことも指す。"",""Please leave the key at the front desk."",""鍵はフロント受付に預けてください。"""
"400,""Direction"",""方向、指示"",""道順や、上司からの指示。"",""Can you give me directions to the station?"",""駅までの道順を教えてくれますか？"""
"400,""Display"",""展示する、表示"",""商品を並べて見せること。"",""The new products are on display."",""新製品が展示されています。"""
"400,""Earn"",""稼ぐ"",""働いてお金や名声を得ること。"",""How much do you earn a month?"",""月にいくら稼ぎますか？"""
"400,""Environment"",""環境"",""自然環境や職場などの周囲の状況。"",""We must protect the natural environment."",""私たちは自然環境を保護しなければなりません。"""
"400,""Expense"",""費用、経費"",""仕事などで使うお金のこと。"",""The company will pay your travel expenses."",""会社があなたの出張費用を支払います。"""
"400,""Fare"",""運賃"",""電車やバス、タクシーなどの乗り物の料金。"",""The bus fare is two dollars."",""バスの運賃は2ドルです。"""
"400,""Flight"",""フライト、飛行の便"",""飛行機の便のこと。"",""My flight was canceled."",""私のフライトはキャンセルされました。"""
"400,""Guest"",""客、ゲスト"",""ホテルやイベントに招かれたお客さん。"",""The hotel has a swimming pool for guests."",""そのホテルには宿泊客用のプールがあります。"""
"400,""Hire"",""雇う"",""一時的、あるいは正社員として人を雇うこと。"",""We are planning to hire a new assistant."",""新しい助手を雇う予定です。"""
"400,""Holiday"",""休日"",""祝日や休暇のこと。"",""Next Monday is a national holiday."",""次の月曜日は国民の休日です。"""
"400,""Industry"",""産業、業界"",""特定の事業分野。自動車産業など。"",""He works in the IT industry."",""彼はIT業界で働いています。"""
"400,""Interview"",""面接、インタビュー"",""就職の面接や、記者からの取材。"",""I have a job interview tomorrow."",""明日、就職面接があります。"""
"400,""Join"",""参加する、加わる"",""クラブや会社、会議などに入ること。"",""Would you like to join us for lunch?"",""一緒にランチに参加しませんか？"""
"400,""List"",""リスト、一覧表"",""項目を書き並べたもの。"",""Please add his name to the guest list."",""ゲストリストに彼の名前を追加してください。"""
"400,""Machine"",""機械"",""工場やオフィスで使われる機器。"",""This machine is out of order."",""この機械は故障しています。"""
"400,""Manager"",""マネージャー、部長"",""部門の責任者や管理職。"",""I need to speak to the manager."",""マネージャーと話す必要があります。"""
"400,""Meeting"",""会議、打ち合わせ"",""仕事で話し合うための集まり。"",""The meeting starts at 2 PM."",""会議は午後2時に始まります。"""
"400,""Message"",""伝言、メッセージ"",""電話などで残す言葉やメール。"",""Please leave a message."",""伝言を残してください。"""
"400,""Office"",""オフィス、事務所"",""仕事をする場所。"",""He is not in the office today."",""彼は今日オフィスにいません。"""
"400,""Package"",""小包、パッケージ"",""送られてくる箱や袋のこと。"",""I received a package from him."",""彼から小包を受け取りました。"""
"400,""Passenger"",""乗客"",""電車や飛行機に乗る人。"",""The train was full of passengers."",""電車は乗客でいっぱいでした。"""
"400,""Payment"",""支払い"",""お金を払うこと。"",""We accept payment by credit card."",""クレジットカードでの支払いが可能です。"""
"400,""Person"",""人"",""個人のこと。複数形はpeople。"",""Only one person can enter."",""1人だけ入ることができます。"""
"400,""Picture"",""写真、絵"",""画像や図のことも指す。"",""Can you take a picture of us?"",""私たちの写真を撮ってくれますか？"""
"400,""Plan"",""計画、予定"",""これから行う予定のこと。"",""What is your plan for the weekend?"",""週末の計画は何ですか？"""
"400,""Problem"",""問題"",""解決すべき困ったこと。"",""We have a big problem."",""大きな問題があります。"""
"400,""Question"",""質問"",""尋ねること。"",""Do you have any questions?"",""何か質問はありますか？"""
"400,""Receipt"",""領収書、レシート"",""お金を払った証明書。(pは発音しない)"",""Can I have a receipt, please?"",""領収書をもらえますか？"""
"400,""Report"",""報告書、報告する"",""仕事の成果などをまとめた文書。"",""She is writing a daily report."",""彼女は日報を書いています。"""
"400,""Sales"",""売上、営業"",""物が売れることや、その部門。"",""He works in the sales department."",""彼は営業部で働いています。"""
"400,""Seat"",""席、座席"",""座る場所のこと。"",""Please take a seat."",""席にお座りください。"""
"400,""Staff"",""スタッフ、職員"",""組織で働く人々（集合名詞）。"",""Our staff will help you."",""当社のスタッフがお手伝いします。"""
"400,""Station"",""駅"",""電車が止まる場所。"",""I will meet you at the station."",""駅でお会いしましょう。"""
"400,""Success"",""成功"",""計画や仕事がうまくいくこと。"",""The event was a great success."",""イベントは大成功でした。"""
"400,""Support"",""支援、サポート"",""助けることや、顧客対応部門。"",""Call our customer support team."",""カスタマーサポートチームに電話してください。"""
"400,""Task"",""仕事、タスク"",""やらなければならない作業。"",""I have many tasks today."",""今日はたくさんのタスクがあります。"""
"400,""Team"",""チーム"",""一緒に働くグループ。"",""He is a good team player."",""彼は優れたチームプレイヤーです。"""
"400,""Ticket"",""チケット、切符"",""入場や乗車のための券。"",""Show me your ticket, please."",""チケットを見せてください。"""
"400,""Tour"",""ツアー、見学"",""旅行や施設を案内してもらうこと。"",""We joined a factory tour."",""工場見学に参加しました。"""
"400,""Traffic"",""交通、交通量"",""車や人の行き来。"",""There is a lot of traffic today."",""今日は交通量が多いです。"""
"400,""Train"",""電車、訓練する"",""乗り物のほか、研修するという動詞にもなる。"",""We will train new employees."",""新入社員の研修を行います。"""
"400,""Trip"",""旅行、出張"",""ビジネスや観光での移動。"",""Have a safe trip!"",""安全な旅行を！"""
"400,""Welcome"",""歓迎する"",""人を喜んで迎えること。"",""Welcome to our company."",""当社へようこそ。"""
"400,""Worker"",""労働者、作業員"",""働く人のこと。"",""He is a hard worker."",""彼は働き者です。"""
"400,""Account"",""口座、アカウント"",""銀行の口座やネット上のアカウント。"",""I opened a bank account."",""銀行口座を開設しました。"""
"400,""Add"",""加える、追加する"",""リストや金額などに何かを足すこと。"",""Please add my name to the list."",""リストに私の名前を追加してください。"""
"400,""Allow"",""許可する"",""人が何かをするのを許すこと。"",""Smoking is not allowed here."",""ここでの喫煙は許可されていません。"""
"400,""Annual"",""年次の、毎年の"",""1年に1回の行事や報告書に使う。"",""We had an annual meeting."",""年次会議を行いました。"""
"400,""Apologize"",""謝罪する"",""sorryのフォーマルな動詞の形。"",""I apologize for the delay."",""遅れについてお詫び申し上げます。"""
"400,""Base"",""拠点とする、基礎"",""会社の本拠地などに使われる。"",""Our company is based in Tokyo."",""私たちの会社は東京を拠点としています。"""
"400,""Board"",""乗り込む、取締役会"",""飛行機に乗ることや、役員会のこと。"",""Passengers are boarding the plane."",""乗客が飛行機に乗り込んでいます。"""
"400,""Break"",""休憩、壊す"",""仕事の合間の休みのこと。"",""Let's take a ten-minute break."",""10分間の休憩を取りましょう。"""
"400,""Build"",""建てる、築く"",""建物や関係性を作ること。"",""They plan to build a new factory."",""彼らは新しい工場を建てる計画です。"""
"400,""Cause"",""原因、引き起こす"",""何かの理由や、事態を発生させること。"",""What caused the accident?"",""何が事故を引き起こしたのですか？"""
"400,""Clear"",""明確な、片付ける"",""わかりやすいことや、綺麗にすること。"",""The instructions are very clear."",""その指示はとても明確です。"""
"400,""Collect"",""集める、回収する"",""データやお金をひとまとめにすること。"",""We need to collect more data."",""もっとデータを集める必要があります。"""
"400,""Compare"",""比較する"",""2つ以上のものを比べること。"",""Please compare the two products."",""2つの製品を比較してください。"""
"400,""Continue"",""続ける"",""何かを中断せずにそのままやること。"",""We will continue the project."",""私たちはプロジェクトを続けます。"""
"400,""Control"",""管理する、制御"",""システムや状況をうまく操ること。"",""They control the quality strictly."",""彼らは品質を厳しく管理しています。"""
"400,""Create"",""創造する、作成する"",""新しいものを作り出すこと。"",""He created a new software."",""彼は新しいソフトウェアを作成しました。"""
"400,""Damage"",""損害、ダメージ"",""物や評判が傷つくこと。"",""The storm caused serious damage."",""嵐は深刻な損害をもたらしました。"""
"400,""Date"",""日付、期日"",""カレンダー上の日や期限。"",""What is the delivery date?"",""配達日はいつですか？"""
"400,""Design"",""設計する、デザイン"",""見た目や構造を計画すること。"",""She designed the new website."",""彼女が新しいウェブサイトを設計しました。"""
"400,""Drop"",""落とす、下落する"",""価格や気温が下がること。"",""Sales dropped by 20 percent."",""売上が20パーセント落ちました。"""
"400,""Easy"",""簡単な"",""難しくないこと。"",""This manual is easy to understand."",""このマニュアルは理解しやすいです。"""
"400,""Enjoy"",""楽しむ"",""サービスや旅行を快適に過ごすこと。"",""Did you enjoy your stay?"",""滞在を楽しみましたか？"""
"400,""Enter"",""入力する、入る"",""データを入れることや、部屋に入ること。"",""Please enter your password."",""パスワードを入力してください。"""
"400,""Excuse"",""言い訳、許す"",""理由をつけて謝ることや、中座する際の一言。"",""Excuse me, where is the elevator?"",""すみません、エレベーターはどこですか？"""
"400,""Fail"",""失敗する、〜し損なう"",""試験に落ちたり、機械が動かなくなること。"",""The system failed yesterday."",""昨日システムがダウン（失敗）しました。"""
"400,""Fill"",""満たす、記入する"",""空のものをいっぱいにすること。"",""Please fill in the blanks."",""空欄に記入してください。"""
"400,""Final"",""最終の"",""最後の、決定的な。"",""This is our final offer."",""これが私たちの最終提案です。"""
"400,""Fix"",""修理する、固定する"",""壊れたものを直したり、日程を確定させること。"",""Can you fix this computer?"",""このパソコンを修理できますか？"""
"400,""Focus"",""集中する、焦点"",""注意や努力を一点に向けること。"",""We must focus on customer needs."",""顧客のニーズに集中しなければなりません。"""
"400,""Free"",""無料の、自由な"",""お金がかからないこと、空いていること。"",""Shipping is free of charge."",""送料は無料です。"""
"600,""Approximately"",""おおよそ"",""数値の前に置く丁寧な副詞。"",""It will take approximately three months."",""おおよそ3ヶ月かかります。"""
"600,""Implement"",""実施する"",""計画やシステムを動かし始める。"",""We will implement the new policy."",""新しい方針を導入します。"""
"600,""Procedure"",""手続き、手順"",""一連の公式な流れ。"",""What is the procedure for a visa?"",""ビザ申請の手続きは何ですか？"""
"600,""Significant"",""かなりの、重要な"",""目に見えて大きい変化。"",""A significant increase in sales."",""売上の大幅な増加。"""
"600,""Appreciate"",""感謝する"",""ビジネスメールで頻繁に使う。"",""I appreciate your prompt reply."",""迅速なご返信に感謝します。"""
"600,""Investigate"",""調査する"",""原因や事実を詳しく調べること。"",""We are investigating the issue."",""現在その問題を調査中です。"""
"600,""Negotiate"",""交渉する"",""価格や条件を話し合って決める。"",""We managed to negotiate a better price."",""より良い価格を交渉できました。"""
"600,""Proposal"",""提案"",""企画書や提案書。"",""They rejected our initial proposal."",""彼らは最初の提案を却下しました。"""
"600,""Ensure"",""確実にする"",""ミスがないように保証する。"",""Please ensure all windows are closed."",""すべての窓が閉まっているか確認してください。"""
"600,""Evaluate"",""評価する"",""価値やパフォーマンスを測る。"",""We will evaluate his performance."",""彼の業績を評価します。"""
"600,""Alternative"",""代わりの、選択肢"",""他の手段や代案。"",""We need to find an alternative route."",""代わりのルートを見つける必要があります。"""
"600,""Distribution"",""流通、配布"",""商品を市場に届けるプロセス。"",""Our distribution center is in Tokyo."",""当社の物流センターは東京にあります。"""
"600,""Consider"",""よく考える、検討する"",""何かを決める前に熟考する。"",""Please consider my proposal."",""私の提案をご検討ください。"""
"600,""Commute"",""通勤する"",""家から職場までの移動。"",""I commute to work by train."",""私は電車で通勤しています。"""
"600,""Temporary"",""一時的な"",""永久(permanent)の対義語。"",""This is only a temporary solution."",""これは一時的な解決策に過ぎません。"""
"600,""Representative"",""担当者、代表者"",""customer service representative(カスタマーサポート担当)。"",""A sales representative will contact you."",""営業担当者がご連絡します。"""
"600,""Guarantee"",""保証する"",""製品の品質などを約束すること。"",""We guarantee 100% satisfaction."",""100%の満足を保証します。"""
"600,""Accommodate"",""収容する、対応する"",""要望に応えたり、人を泊めたりする。"",""The hotel can accommodate 500 guests."",""そのホテルは500人の客を収容できます。"""
"600,""Enclose"",""同封する"",""手紙や書類と一緒に封筒に入れること。"",""I have enclosed my resume."",""履歴書を同封いたしました。"""
"600,""Indicate"",""示す、指摘する"",""調査結果などが何かを指し示しているとき。"",""The survey indicates a change in trend."",""調査はトレンドの変化を示しています。"""
"600,""Feature"",""特徴、特集する"",""製品の目玉機能など。"",""This phone has many new features."",""この電話には多くの新機能があります。"""
"600,""Reduce"",""減らす"",""コストやサイズの削減。"",""We need to reduce our expenses."",""経費を削減する必要があります。"""
"600,""Estimate"",""見積もる、見積書"",""費用や時間の概算。"",""Can you give me an estimate?"",""見積もりをいただけますか？"""
"600,""Organize"",""組織する、準備する"",""イベントや会議を計画してまとめること。"",""She organized the conference."",""彼女が会議を準備しました。"""
"600,""Promote"",""昇進させる、促進する"",""販売促進やポジションが上がること。"",""He was promoted to manager."",""彼はマネージャーに昇進しました。"""
"600,""Recommend"",""推薦する"",""人に良いものを勧めること。"",""I highly recommend this restaurant."",""このレストランを強くお勧めします。"""
"600,""Budget"",""予算"",""あらかじめ決められた経費の枠組み。"",""We have a limited budget."",""私たちには限られた予算しかありません。"""
"600,""Determine"",""決定する"",""事実を明らかにしたり、方針を固める。"",""We must determine the cause of the problem."",""問題の原因を特定しなければなりません。"""
"600,""Inspect"",""検査する"",""機械や建物の状態を詳しく調べること。"",""The building is inspected annually."",""その建物は毎年検査されます。"""
"600,""Maintain"",""維持する、保守する"",""機械のメンテナンスや現状維持。"",""It costs a lot to maintain this car."",""この車を維持するにはお金がかかります。"""
"600,""Revise"",""修正する、改訂する"",""計画や書類の内容を見直して直すこと。"",""We need to revise the document."",""私たちはその書類を修正する必要があります。"""
"600,""Obtain"",""得る、取得する"",""努力して許可や情報を手に入れること。"",""He obtained a driver's license."",""彼は運転免許を取得しました。"""
"600,""Emphasize"",""強調する"",""重要性を際立たせること。"",""The speaker emphasized the importance of safety."",""話し手は安全の重要性を強調しました。"""
"600,""Approve"",""承認する"",""計画や提案を公式に認めること。"",""The board approved the budget."",""取締役会は予算を承認しました。"""
"600,""Notify"",""通知する"",""人に正式な情報を知らせること。"",""Please notify me of any changes."",""変更があれば私に通知してください。"""
"600,""Assign"",""割り当てる"",""仕事や役目を特定の人物に任せること。"",""She was assigned a new project."",""彼女は新しいプロジェクトを割り当てられました。"""
"600,""Establish"",""設立する、確立する"",""会社を創立したり、関係を築いたりすること。"",""The company was established in 1990."",""その会社は1990年に設立されました。"""
"600,""Measure"",""測る、対策"",""寸法を測ることや、問題に対する手段。"",""We must take immediate measures."",""私たちは直ちに対策を講じなければなりません。"""
"600,""Predict"",""予測する"",""将来起こることを予想すること。"",""It is hard to predict the weather."",""天気を予測するのは難しいです。"""
"600,""Resolve"",""解決する"",""問題や困難を終わらせること。"",""We need to resolve this issue quickly."",""この問題を早急に解決する必要があります。"""
"600,""Decline"",""断る、減少する"",""丁重に拒否することや、数値が下がること。"",""Sales declined by 5% last month."",""先月、売上が5%減少しました。"""
"600,""Exhibit"",""展示する、展示品"",""作品や商品を人に見せること。"",""The museum exhibits modern art."",""その博物館は現代美術を展示しています。"""
